AMD Ryzen Threadripper PRO 9995WX,105676
AMD EPYC 9755,100240
AMD EPYC 9965,96753
AMD EPYC 9655P,96722
AMD EPYC 9655,94082
AMD Ryzen Threadripper PRO 9985WX,92203
AMD EPYC 9845,92199
AMD EPYC 9575F,89130
AMD Ryzen Threadripper 9980X,85931
AMD Ryzen Threadripper PRO 7995WX,85836
AMD EPYC 9555P,81956
AMD Ryzen Threadripper 7980X,81751
AMD EPYC 9565,81493
Intel Xeon 6960P,81395
AMD EPYC 9555,80307
AMD Ryzen Threadripper PRO 7985WX,79876
AMD EPYC 9745,78767
AMD EPYC 9J14,75114
AMD EPYC 9B14,73852
AMD EPYC 9475F,73812
AMD EPYC 9684X,73535
Intel Xeon 6781P,73475
AMD EPYC 9654,71859
AMD EPYC 9V74,70877
AMD EPYC 9654P,70468
AMD EPYC 9455P,70459
AMD EPYC 9D25,68869
AMD EPYC 9455,66897
AMD EPYC 9634,65054
AMD Ryzen Threadripper 9970X,64578
AMD Ryzen Threadripper PRO 9975WX,64309
Intel Xeon 6747P,63345
AMD EPYC 9554P,63231
Intel Xeon 6741P,62707
AMD EPYC 9554,62402
AMD EPYC 9734,61644
AMD EPYC 9474F,61625
Intel Xeon w9-3595X,61425
AMD Ryzen Threadripper 7970X,59797
AMD EPYC 9754,59332
AMD EPYC 9355P,58600
Intel Xeon Platinum 8570,58384
AMD Ryzen Threadripper PRO 7975WX,57822
AMD EPYC 9375F,57716
AMD Ryzen Threadripper PRO 5995WX,57220
AMD EPYC 9454P,57077
Intel Xeon 6740P,56492
Intel Xeon Platinum 8470,55972
AMD Ryzen Threadripper PRO 9965WX,55941
AMD Ryzen Threadripper 9960X,55826
Intel Xeon Platinum 8488C,55235
AMD EPYC 7773X,55047
Intel Xeon 6780E,54031
AMD EPYC 9534,53683
Intel Xeon w9-3575X,53191
AMD EPYC 9454,53011
Intel Xeon Platinum 8592+,52336
Intel Xeon Max 9480,51651
Intel Xeon w9-3495X,51207
AMD EPYC 9275F,50997
AMD EPYC 7763,50889
AMD Ryzen Threadripper 3990X,50675
AMD Ryzen Threadripper 7960X,50363
AMD Ryzen Threadripper PRO 3995WX,50168
Intel Xeon Platinum 8568Y+,49639
Intel Xeon 6737P,49608
AMD Ryzen Threadripper PRO 7965WX,49505
AMD EPYC 9374F,49424
AMD EPYC 7663,49307
AMD EPYC 7V13,49276
AMD EPYC 7713P,49166
Intel Xeon 6740E,47448
Intel Xeon Platinum 8461V,46710
Intel Xeon 6732P,46627
AMD EPYC 7643P,46590
Intel Xeon 6730P,46169
AMD EPYC 7643,45958
AMD EPYC 7C13,45846
Intel Xeon Gold 6548Y+,45717
AMD EPYC 9255,45687
AMD Ryzen Threadripper PRO 5975WX,45207
AMD EPYC 9354P,44974
AMD EPYC 9274F,44586
AMD EPYC 9354,44532
Intel Xeon w7-3565X,44283
Intel Xeon Gold 6448H,43781
AMD EPYC 7662,43568
AMD EPYC 9384X,43464
AMD EPYC 8534P,43331
Intel Xeon Platinum 8571N,42601
AMD EPYC 7V12,42561
AMD EPYC 7713,42431
AMD Ryzen 9 9950X3D,42289
Intel Xeon w7-3555,42207
Intel Core Ultra 9 285K,41998
AMD EPYC 7H12,41962
AMD EPYC 7573X,41844
AMD EPYC 4585PX,41341
Intel Xeon w7-2595X,41287
AMD Ryzen Threadripper PRO 9955WX,40640
Intel Xeon w9-3475X,40502
Intel Xeon 6521P,40343
Intel Xeon Platinum 8469C,40188
AMD Ryzen Threadripper PRO 5965WX,40164
AMD EPYC 7543P,40131
AMD EPYC 8434P,40071
Intel Xeon 6520P,39875
AMD EPYC 9175F,39712
AMD Ryzen 9 9950X,39679
AMD EPYC 9334,39515
Intel Xeon Gold 6438Y+,39034
AMD Ryzen Threadripper 3970X,38976
AMD Ryzen Threadripper PRO 3975WX,38886
AMD EPYC 75F3,38875
Intel Xeon Platinum 8454H,38839
AMD EPYC 4564P,38837
Intel Xeon Platinum 8380,38818
AMD EPYC 4565P,38533
Intel Xeon w7-3465X,38374
AMD EPYC 9254,38293
Intel Xeon 6710E,38252
Intel Xeon Gold 5520+,38141
Intel Core i9-13900KS,37717
Intel Xeon Gold 6448Y,37657
Intel Xeon Gold 5512U,37631
Intel Core i9-14900KS,37553
Intel Xeon Gold 6542Y,37467
AMD Ryzen 9 9955HX3D,37432
AMD EPYC 7543,37310
Intel Xeon W-3375,36808
Intel Core Ultra 7 265K,36583
AMD EPYC 74F3,36561
Intel Core Ultra 7 265KF,36503
Intel Xeon Gold 6442Y,36464
Intel Core i9-14900K,36424
Intel Xeon w7-3545,36413
Intel Core i9-14900KF,36345
Intel Core i9-13900K,36331
AMD EPYC 7742,36270
Intel Xeon Gold 5420+,36261
AMD Ryzen Threadripper PRO 7955WX,36198
AMD EPYC 4584PX,36154
AMD EPYC 7702,35983
Intel Core i9-13900KF,35958
Intel Core Ultra 9 285HX,35868
AMD Ryzen 9 7950X,35844
Intel Xeon Gold 6423N,35779
AMD EPYC 7642,35758
AMD EPYC 7473X,35726
Intel Core Ultra 9 285,35706
Intel Xeon W-3365,35700
Intel Xeon w7-2495X,35660
Intel Xeon Gold 6414U,35633
AMD Ryzen 9 7950X3D,35603
AMD EPYC 7513,35478
Intel Xeon Platinum 8362,35373
AMD Ryzen 9 7945X3D,35018
Intel Xeon Platinum 8375C,35008
Intel Core Ultra 9 275HX,34969
AMD Ryzen 9 7945HX3D,34859
AMD EPYC 9135,34838
AMD EPYC 7552,34598
AMD EPYC 8324P,34428
Intel Xeon w7-3455,34261
AMD EPYC 7443P,34236
AMD EPYC 7443,34197
Intel Xeon w5-3535X,34098
AMD Ryzen Threadripper PRO 9945WX,33916
Intel Xeon Platinum 8358,33896
AMD Ryzen 9 9900X3D,33894
Intel Xeon Platinum 8360Y,33685
AMD Ryzen 9 9955HX,33573
AMD Ryzen AI Max+ 395,33254
Intel Xeon w7-2475X,33148
Intel Xeon Gold 6430,33057
Intel Xeon w7-2575X,32986
Intel Xeon Gold 6438N,32885
AMD EPYC 7702P,32855
AMD Ryzen 9 9900X,32811
AMD EPYC 4545P,32701
Intel Xeon w5-2565X,32674
Intel Core i7-14700KF,32551
Intel Core i7-14700K,32475
AMD Ryzen 9 7945HX,32454
Intel Xeon Gold 6348,32293
AMD Ryzen 9 7940HX,32246
Intel Xeon Gold 6418H,32213
Intel Xeon Gold 5412U,32144
AMD Ryzen Threadripper 3960X,31967
Intel Xeon Gold 6544Y,31883
AMD EPYC 9174F,31882
AMD EPYC 7F72,31842
Intel Xeon Gold 6554S,31632
AMD EPYC 7502,31593
AMD Ryzen 9 8945HX,31356
Intel Xeon Platinum 8562Y+,31265
Intel Xeon 6736P,31192
AMD Ryzen 9 9850HX,31136
AMD Ryzen AI Max+ Pro 395,31031
Intel Core Ultra 7 265,30940
AMD EPYC 7502P,30857
Intel Core Ultra 7 265F,30837
Intel Xeon Platinum 8347C,30763
Intel Core Ultra 7 255HX,30671
Intel Xeon w5-3525,30643
AMD EPYC 7532,30568
AMD EPYC 7413,30519
Intel Xeon w7-3445,30519
AMD Ryzen 9 8940HX,30510
Intel Xeon Gold 6314U,30470
AMD EPYC 4484PX,30463
Intel Core Ultra 7 265HX,30439
Intel Core i9-13900F,30299
AMD Ryzen 9 7900X3D,30271
AMD EPYC 4465P,30138
Intel Xeon W-3345,29986
AMD Ryzen Threadripper PRO 7945WX,29973
Intel Xeon w5-2555X,29676
AMD EPYC 9224,29510
AMD Ryzen Threadripper PRO 5955WX,29448
Intel Xeon 6517P,29401
Intel Xeon Gold 6444Y,29388
Intel Xeon Gold 6342,29324
AMD Ryzen 9 PRO 9945,29241
AMD EPYC 9115,29231
AMD EPYC 7453,29198
Intel Core i9-14900F,29130
Intel Xeon Platinum 8368Q,29078
AMD Ryzen 9 7900,28996
AMD EPYC 9184X,28962
Intel Xeon Gold 6530,28649
Intel Core i9-13980HX,28565
AMD EPYC 4464P,28556
Intel Core i7-13700K,28504
Intel Core i7-13700KF,28464
Intel Xeon 6511P,28461
Intel Xeon Gold 5418Y,28444
Intel Xeon Gold 6336Y,28353
AMD Ryzen 9 PRO 7945,28267
Intel Xeon w5-2465X,28194
Intel Core i9-14900,28099
Intel Core i9-13900,28092
Intel Xeon Gold 6538N,27967
AMD Ryzen 9 7900X,27950
Intel Xeon w5-3435X,27800
AMD EPYC 73F3,27784
AMD EPYC 7402,27727
Intel Core i9-14900HX,27691
AMD EPYC 7452,27578
AMD EPYC 8224P,27373
Intel Xeon Silver 4416+,27197
Intel Core i9-12900KS,27110
Intel Core Ultra 5 245K,27052
AMD Ryzen 9 7845HX,27048
Intel Core Ultra 5 245KF,26947
Intel Xeon Gold 6526Y,26798
Intel Xeon W-3175X,26558
AMD Ryzen 9 5900XT,26531
Intel Core i9-13900T,26402
AMD Ryzen 9 5950X,26366
AMD EPYC 9124,26304
AMD EPYC 7343,26302
Intel Core i7-13790F,26290
Intel Xeon Gold 6338N,26215
Intel Xeon Gold 6330,26207
AMD Ryzen 7 8840HX,26104
Intel Xeon Gold 6312U,25930
AMD Ryzen AI Max Pro 390,25924
Intel Core i7-14700F,25829
AMD Ryzen 7 7840HX,25768
Intel Core i9-12900K,25640
Intel Core i7-14790F,25549
Intel Core i9-13950HX,25488
AMD EPYC 7D12,25481
Intel Core i7-14700,25449
Intel Xeon Platinum 8275CL,25412
Intel Xeon w5-2545,25405
Intel Core i9-12900KF,25394
Intel Xeon 6515P,25366
Intel Xeon Gold 6416H,25295
Intel Core i9-13900E,25138
Intel Core Ultra 5 245HX,25125
Intel Xeon Gold 6338,25056
AMD Ryzen AI Max 390,25052
Intel Core Ultra 5 235HX,24994
Intel Core Ultra 5 235,24915
AMD EPYC 7F52,24829
Intel Core Ultra 7 265T,24795
Intel Core Ultra 5 245,24770
Intel Xeon W-3275,24574
Intel Xeon 6505P,24507
Intel Xeon W-3335,24476
AMD EPYC 7313P,24395
AMD Ryzen Threadripper PRO 5945WX,24193
AMD Ryzen 7 9800X3D,24092
AMD Ryzen Threadripper PRO 3955WX,24064
Intel Core i5-14600KF,24049
Intel Core i5-14600K,23984
Intel Core i9-14900T,23934
Intel Core i9-13900HX,23917
Intel Xeon Gold 6354,23877
Intel Core i7-13700F,23725
AMD EPYC 7402P,23676
Intel Core Ultra X9 388H,23612
AMD EPYC 7542,23580
Intel Xeon Gold 6258R,23530
Intel Xeon Gold 6346,23503
AMD EPYC 7313,23466
Intel Xeon Platinum 8280M,23462
Intel Core i5-13600K,23408
Intel Xeon Gold 5320,23395
Intel Core i5-13600KF,23305
Intel Xeon Platinum 8273CL,23248
Intel Xeon W-3275M,23125
Intel Xeon w5-2455X,23111
Intel Core i7-14700HX,23056
Intel Xeon Platinum 8280,22942
Intel Core i7-13850HX,22737
Intel Core Ultra 9 285T,22734
Intel Xeon Gold 6330N,22649
Intel Xeon w5-3425,22600
AMD Ryzen 9 5900X,22591
Intel Core i7-13700,22529
Intel Xeon Gold 6242R,22432
AMD Ryzen 7 9700X,22364
AMD Ryzen 7 PRO 9745,22359
Intel Core i9-12900F,22323
Intel Xeon Gold 6338T,22300
Intel Xeon Platinum 8268,22260
Intel Xeon Gold 5416S,22124
Intel Xeon Gold 6248R,22073
AMD EPYC 7303P,21989
AMD EPYC 4345P,21892
AMD Ryzen 9 3950X,21875
AMD EPYC 8124P,21743
Intel Core Ultra 7 356H,21735
AMD Ryzen AI 9 HX 470,21722
Intel Xeon Gold 6238R,21647
Intel Core Ultra 7 265H,21603
Intel Xeon Platinum 8260M,21548
Intel Xeon Gold 6268CL,21527
AMD Ryzen 7 7700X,21447
Intel Core Ultra 9 285H,21436
Intel Core Ultra 7 366H,21421
Intel Core i7-12700K,21383
Intel Core i7-14650HX,21305
AMD EPYC 7352,21251
Intel Core i7-12700KF,21209
AMD Ryzen AI 9 HX 370,21158
AMD EPYC 7601,21127
Intel Core i7-13700E,21077
AMD Ryzen AI 9 HX 375,21076
Intel Xeon D-2799,21049
Intel Xeon Gold 6326,21031
AMD Ryzen 7 PRO 7745,20989
Intel Core i9-12900,20978
Intel Xeon Platinum 8270,20931
Intel Xeon Platinum 8180,20832
AMD Ryzen 9 PRO 5945,20820
Intel Xeon w3-2535,20786
Intel Xeon Gold 6240R,20776
AMD Ryzen 7 7700,20731
Intel Core Ultra 5 230F,20672
AMD Ryzen 7 7800X3D,20664
Intel Xeon Gold 5318Y,20642
Intel Xeon W-3265M,20636
Intel Xeon w5-3433,20632
Intel Core i9-12900HX,20622
AMD EPYC 4364P,20620
Intel Xeon Platinum 8180M,20547
AMD Ryzen 9 5900,20464
Intel Xeon Gold 6278C,20454
Intel Xeon Gold 6230R,20302
Intel Xeon Gold 6254,20191
AMD EPYC 7302,20187
Intel Core Ultra X7 368H,20165
AMD Ryzen Threadripper PRO 3945WX,20151
AMD EPYC 7551P,20143
Intel Core i5-14600,20128
Intel Xeon Silver 4510,20110
AMD EPYC 4344P,20083
Intel Xeon w5-2445,20055
Intel Core Ultra 5 235T,20049
AMD Ryzen AI Max 385,20028
Intel Core i7-13700HX,19968
AMD Ryzen Threadripper 2990WX,19761
Intel Xeon Gold 5320H,19759
Intel Core Ultra X7 358H,19721
Intel Core i9-10980XE,19680
Intel Xeon E-2488,19627
Intel Core i5-13600,19604
AMD Ryzen 7 7745HX,19580
Intel Core i7-14700T,19532
Intel Core Ultra 5 225F,19510
Intel Core i9-12950HX,19498
Intel Xeon 6507P,19456
Intel Core i7-12800HX,19453
Intel Core i5-14500,19363
Intel Core i5-13500,19331
Intel Core Ultra 5 245T,19214
Intel Xeon Platinum 8168,19189
Intel Core Ultra 7 255H,19119
AMD Ryzen AI Max+ 388,19105
Intel Core i9-9980XE,19102
AMD Ryzen 7 8700G,19081
Intel Xeon 4514Y,19075
AMD Ryzen 9 3900XT,19069
Intel Core i7-12850HX,19065
AMD Ryzen 7 8745HX,19053
AMD Ryzen AI Max Pro 385,19032
Intel Core Ultra 5 338H,18983
AMD Ryzen 5 PRO 9645,18980
Intel Xeon Gold 6246R,18979
Intel Xeon Platinum 8260,18961
Intel Xeon 6357P,18938
Intel Core Ultra 5 225,18929
Intel Xeon Gold 5220R,18919
